protein_1,protein_1_idx,protein_2,protein_2_idx,confidence,attributes,attribute_p1,attribute_p2
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH23501.1_580_[gene=holA]_[protein=DNA_polymerase_III_delta_subunit]_[protein_id=CBH23501.1]_[location=713551..714594],579,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NONE,NONE
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH23962.1_1041_[gene=dnaX]_[protein=DNA_polymerase_III_gamma/tau_subunit]_[protein_id=CBH23962.1]_[location=1193487..1194674],1040,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NONE,DAY
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,"M8lcl_FP565814.1_prot_CBH24094.1_1173_[gene=dnaE2]_[protein=DNA_polymerase_III,_alpha_subunit]_[protein_id=CBH24094.1]_[location=complement(1342632..1346132)]",1172,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NONE,NIGHT
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH24148.1_1227_[gene=pyk]_[protein=Pyruvate_kinase]_[protein_id=CBH24148.1]_[location=1404402..1405832],1226,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NONE,NONE
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH24194.1_1273_[gene=ndk]_[protein=Nucleoside_diphosphate_kinase]_[protein_id=CBH24194.1]_[location=1442747..1443175],1272,0.5568033253044931,"['DAY', 'NIGHT', 'NONE']",NONE,NONE
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH24554.1_1633_[gene=dnaQ]_[protein=DNA_polymerase_III_epsilon_subunit]_[protein_id=CBH24554.1]_[location=1855762..1857453],1632,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NONE,NIGHT
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH24757.1_1835_[gene=polA]_[protein=DNA_polymerase_I]_[protein_id=CBH24757.1]_[location=complement(2094769..2097618)],1834,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NONE,DAY
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH25697.1_2776_[gene=dnaX]_[protein=DNA_polymerase_III_subunit_tau]_[protein_id=CBH25697.1]_[location=complement(3264006..3266285)],2775,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NONE,NONE
M8lcl_FP565814.1_prot_CBH22928.1_7_[gene=SRM_00007]_[protein=short_chain_dehydrogenase/reductase_(SDR)_family_protein]_[protein_id=CBH22928.1]_[location=complement(6363..7286)],6,M8lcl_FP565814.1_prot_CBH25885.1_2964_[gene=fabF]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_II]_[protein_id=CBH25885.1]_[location=complement(3478907..3480166)],2963,0.6058381643955902,"['DAY', 'NIGHT', 'NONE']",DAY,NIGHT
M8lcl_FP565814.1_prot_CBH22929.1_8_[gene=rpe]_[protein=Ribulose_phosphate_3_epimerase]_[protein_id=CBH22929.1]_[location=complement(7406..8140)],7,M8lcl_FP565814.1_prot_CBH23271.1_350_[gene=tktA]_[protein=transketolase]_[protein_id=CBH23271.1]_[location=412884..414914],349,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NIGHT,NIGHT
M8lcl_FP565814.1_prot_CBH22929.1_8_[gene=rpe]_[protein=Ribulose_phosphate_3_epimerase]_[protein_id=CBH22929.1]_[location=complement(7406..8140)],7,M8lcl_FP565814.1_prot_CBH24096.1_1175_[gene=glpK]_[protein=Glycerol_kinase]_[protein_id=CBH24096.1]_[location=complement(1347549..1349165)],1174,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NIGHT,NONE
M8lcl_FP565814.1_prot_CBH22929.1_8_[gene=rpe]_[protein=Ribulose_phosphate_3_epimerase]_[protein_id=CBH22929.1]_[location=complement(7406..8140)],7,"M8lcl_FP565814.1_prot_CBH25107.1_2186_[gene=pdhB]_[protein=pyruvate_dehydrogenase_complex,_E1_component]_[protein_id=CBH25107.1]_[location=complement(2516361..2517344)]",2185,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NIGHT,NONE
M8lcl_FP565814.1_prot_CBH22931.1_10_[gene=SRM_00010]_[protein=Conserved_hypothetical_protein]_[protein_id=CBH22931.1]_[location=8702..9325],9,M8lcl_FP565814.1_prot_CBH23299.1_378_[gene=dapG]_[protein=Aspartate_kinase]_[protein_id=CBH23299.1]_[location=447721..450333],377,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NONE,NIGHT
M8lcl_FP565814.1_prot_CBH22931.1_10_[gene=SRM_00010]_[protein=Conserved_hypothetical_protein]_[protein_id=CBH22931.1]_[location=8702..9325],9,M8lcl_FP565814.1_prot_CBH23788.1_867_[gene=metL]_[protein=Bifunctional_aspartokinase/homoserine_dehydrogenase_II]_[protein_id=CBH23788.1]_[location=complement(994511..996976)],866,0.5589191021344387,"['DAY', 'NIGHT', 'NONE']",NONE,DAY
M8lcl_FP565814.1_prot_CBH22931.1_10_[gene=SRM_00010]_[protein=Conserved_hypothetical_protein]_[protein_id=CBH22931.1]_[location=8702..9325],9,M8lcl_FP565814.1_prot_CBH24053.1_1132_[gene=aspB]_[protein=Aspartate_aminotransferase]_[protein_id=CBH24053.1]_[location=1300003..1301217],1131,0.5468073447404647,"['DAY', 'NIGHT', 'NONE']",NONE,NIGHT
M8lcl_FP565814.1_prot_CBH22931.1_10_[gene=SRM_00010]_[protein=Conserved_hypothetical_protein]_[protein_id=CBH22931.1]_[location=8702..9325],9,M8lcl_FP565814.1_prot_CBH24957.1_2036_[gene=purA]_[protein=Adenylosuccinate_synthetase]_[protein_id=CBH24957.1]_[location=complement(2337424..2338743)],2035,0.6400443296778523,"['DAY', 'NIGHT', 'NONE']",NONE,DAY
M8lcl_FP565814.1_prot_CBH22932.1_11_[gene=SRM_00011]_[protein=Conserved_hypothetical_protein]_[protein_id=CBH22932.1]_[location=complement(9374..10486)],10,"M8lcl_FP565814.1_prot_CBH23422.1_501_[gene=korA]_[protein=2_oxoacid__ferredoxin_oxidoreductase,_alpha_subunit]_[protein_id=CBH23422.1]_[location=609815..611713]",500,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NONE,DAY
M8lcl_FP565814.1_prot_CBH22932.1_11_[gene=SRM_00011]_[protein=Conserved_hypothetical_protein]_[protein_id=CBH22932.1]_[location=complement(9374..10486)],10,M8lcl_FP565814.1_prot_CBH23886.1_965_[gene=eno2]_[protein=Enolase]_[protein_id=CBH23886.1]_[location=complement(1093024..1094313)],964,0.5860258605569312,"['DAY', 'NIGHT', 'NONE']",NONE,NONE
M8lcl_FP565814.1_prot_CBH22932.1_11_[gene=SRM_00011]_[protein=Conserved_hypothetical_protein]_[protein_id=CBH22932.1]_[location=complement(9374..10486)],10,M8lcl_FP565814.1_prot_CBH24148.1_1227_[gene=pyk]_[protein=Pyruvate_kinase]_[protein_id=CBH24148.1]_[location=1404402..1405832],1226,0.5525115938460945,"['DAY', 'NIGHT', 'NONE']",NONE,NONE
M8lcl_FP565814.1_prot_CBH22932.1_11_[gene=SRM_00011]_[protein=Conserved_hypothetical_protein]_[protein_id=CBH22932.1]_[location=complement(9374..10486)],10,M8lcl_FP565814.1_prot_CBH25496.1_2575_[gene=gpmI]_[protein=Phosphoglyceromutase]_[protein_id=CBH25496.1]_[location=complement(3007743..3009314)],2574,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NONE,DAY
M8lcl_FP565814.1_prot_CBH22934.1_13_[gene=ribA]_[protein=Riboflavin_biosynthesis_protein_ribA]_[protein_id=CBH22934.1]_[location=11375..12622],12,M8lcl_FP565814.1_prot_CBH24148.1_1227_[gene=pyk]_[protein=Pyruvate_kinase]_[protein_id=CBH24148.1]_[location=1404402..1405832],1226,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",DAY,NONE
M8lcl_FP565814.1_prot_CBH22934.1_13_[gene=ribA]_[protein=Riboflavin_biosynthesis_protein_ribA]_[protein_id=CBH22934.1]_[location=11375..12622],12,M8lcl_FP565814.1_prot_CBH24182.1_1261_[gene=rpoA]_[protein=DNA_directed_RNA_polymerase_alpha_chain]_[protein_id=CBH24182.1]_[location=1430981..1431967],1260,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",DAY,DAY
M8lcl_FP565814.1_prot_CBH22934.1_13_[gene=ribA]_[protein=Riboflavin_biosynthesis_protein_ribA]_[protein_id=CBH22934.1]_[location=11375..12622],12,"M8lcl_FP565814.1_prot_CBH24184.1_1263_[gene=spoT]_[protein=Guanosine_3',5'_bis(diphosphate)_3'_pyrophosphohydrolase]_[protein_id=CBH24184.1]_[location=1432843..1435083]",1262,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",DAY,NIGHT
M8lcl_FP565814.1_prot_CBH22934.1_13_[gene=ribA]_[protein=Riboflavin_biosynthesis_protein_ribA]_[protein_id=CBH22934.1]_[location=11375..12622],12,"M8lcl_FP565814.1_prot_CBH24189.1_1268_[gene=ribE]_[protein=6,7_dimethyl_8_ribityllumazine_synthase]_[protein_id=CBH24189.1]_[location=1438443..1439144]",1267,0.6110384303060356,"['DAY', 'NIGHT', 'NONE']",DAY,DAY
M8lcl_FP565814.1_prot_CBH22934.1_13_[gene=ribA]_[protein=Riboflavin_biosynthesis_protein_ribA]_[protein_id=CBH22934.1]_[location=11375..12622],12,M8lcl_FP565814.1_prot_CBH24194.1_1273_[gene=ndk]_[protein=Nucleoside_diphosphate_kinase]_[protein_id=CBH24194.1]_[location=1442747..1443175],1272,0.5986416952746711,"['DAY', 'NIGHT', 'NONE']",DAY,NONE
M8lcl_FP565814.1_prot_CBH22934.1_13_[gene=ribA]_[protein=Riboflavin_biosynthesis_protein_ribA]_[protein_id=CBH22934.1]_[location=11375..12622],12,M8lcl_FP565814.1_prot_CBH24891.1_1970_[gene=rpoC]_[protein=DNA_directed_RNA_polymerase_beta'_chain]_[protein_id=CBH24891.1]_[location=complement(2246364..2250710)],1969,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",DAY,DAY
M8lcl_FP565814.1_prot_CBH22934.1_13_[gene=ribA]_[protein=Riboflavin_biosynthesis_protein_ribA]_[protein_id=CBH22934.1]_[location=11375..12622],12,M8lcl_FP565814.1_prot_CBH24892.1_1971_[gene=rpoB]_[protein=DNA_directed_RNA_polymerase_beta_chain]_[protein_id=CBH24892.1]_[location=complement(2250822..2254829)],1970,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",DAY,NONE
M8lcl_FP565814.1_prot_CBH22934.1_13_[gene=ribA]_[protein=Riboflavin_biosynthesis_protein_ribA]_[protein_id=CBH22934.1]_[location=11375..12622],12,M8lcl_FP565814.1_prot_CBH25449.1_2528_[gene=ribD]_[protein=riboflavin_biosynthesis_protein_RibD]_[protein_id=CBH25449.1]_[location=2944631..2945824],2527,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",DAY,NIGHT
M8lcl_FP565814.1_prot_CBH22941.1_20_[gene=lolC]_[protein=Lipoprotein_releasing_system_transmembrane_protein_lolC]_[protein_id=CBH22941.1]_[location=19908..21167],19,"M8lcl_FP565814.1_prot_CBH24312.1_1391_[gene=SRM_01391]_[protein=ABC_type_transport_systems,_ATPase_components]_[protein_id=CBH24312.1]_[location=1576744..1577610]",1390,0.5704550170604289,"['DAY', 'NIGHT', 'NONE']",NONE,NONE
M8lcl_FP565814.1_prot_CBH22941.1_20_[gene=lolC]_[protein=Lipoprotein_releasing_system_transmembrane_protein_lolC]_[protein_id=CBH22941.1]_[location=19908..21167],19,M8lcl_FP565814.1_prot_CBH24637.1_1716_[gene=SRM_01716]_[protein=Conserved_hypothetical_protein_containing_permease_domain]_[protein_id=CBH24637.1]_[location=complement(1948524..1949930)],1715,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NONE,DAY
M8lcl_FP565814.1_prot_CBH22942.1_21_[gene=comA]_[protein=Phosphosulfolactate_synthase]_[protein_id=CBH22942.1]_[location=21282..22103],20,M8lcl_FP565814.1_prot_CBH24739.1_1818_[gene=comB]_[protein=Probable_2_phosphosulfolactate_phosphatase]_[protein_id=CBH24739.1]_[location=2075897..2076634],1817,0.500401780809682,"['DAY', 'NIGHT', 'NONE']",NONE,DAY
M8lcl_FP565814.1_prot_CBH22948.1_27_[gene=coaBC]_[protein=Coenzyme_A_biosynthesis_bifunctional_protein_coaBC]_[protein_id=CBH22948.1]_[location=complement(27312..28553)],26,M8lcl_FP565814.1_prot_CBH23532.1_611_[gene=SRM_00611]_[protein=Putative_transcriptional_regulator]_[protein_id=CBH23532.1]_[location=complement(743223..743993)],610,0.6233647718142008,"['DAY', 'NIGHT', 'NONE']",DAY,DAY
M8lcl_FP565814.1_prot_CBH22948.1_27_[gene=coaBC]_[protein=Coenzyme_A_biosynthesis_bifunctional_protein_coaBC]_[protein_id=CBH22948.1]_[location=complement(27312..28553)],26,M8lcl_FP565814.1_prot_CBH24053.1_1132_[gene=aspB]_[protein=Aspartate_aminotransferase]_[protein_id=CBH24053.1]_[location=1300003..1301217],1131,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",DAY,NIGHT
M8lcl_FP565814.1_prot_CBH22948.1_27_[gene=coaBC]_[protein=Coenzyme_A_biosynthesis_bifunctional_protein_coaBC]_[protein_id=CBH22948.1]_[location=complement(27312..28553)],26,M8lcl_FP565814.1_prot_CBH24222.1_1301_[gene=cysK]_[protein=Cystathionine_beta_synthase]_[protein_id=CBH24222.1]_[location=complement(1471561..1473087)],1300,0.5344883989851651,"['DAY', 'NIGHT', 'NONE']",DAY,NONE
