protein_1,protein_1_idx,protein_2,protein_2_idx,confidence,size_p1,size_p2,attribute
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH23501.1_580_[gene=holA]_[protein=DNA_polymerase_III_delta_subunit]_[protein_id=CBH23501.1]_[location=713551..714594],579,0.7203082010430589,1,2,INFO
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH23962.1_1041_[gene=dnaX]_[protein=DNA_polymerase_III_gamma/tau_subunit]_[protein_id=CBH23962.1]_[location=1193487..1194674],1040,0.7445316227541731,1,2,INFO
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,"M8lcl_FP565814.1_prot_CBH24094.1_1173_[gene=dnaE2]_[protein=DNA_polymerase_III,_alpha_subunit]_[protein_id=CBH24094.1]_[location=complement(1342632..1346132)]",1172,0.7445316227541731,1,2,INFO
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH24148.1_1227_[gene=pyk]_[protein=Pyruvate_kinase]_[protein_id=CBH24148.1]_[location=1404402..1405832],1226,0.7445316227541731,1,2,INFO
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH24194.1_1273_[gene=ndk]_[protein=Nucleoside_diphosphate_kinase]_[protein_id=CBH24194.1]_[location=1442747..1443175],1272,0.557781936996357,1,2,INFO
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH24554.1_1633_[gene=dnaQ]_[protein=DNA_polymerase_III_epsilon_subunit]_[protein_id=CBH24554.1]_[location=1855762..1857453],1632,0.7394533929529796,1,2,INFO
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH24757.1_1835_[gene=polA]_[protein=DNA_polymerase_I]_[protein_id=CBH24757.1]_[location=complement(2094769..2097618)],1834,0.7445316227541731,1,2,INFO
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH25697.1_2776_[gene=dnaX]_[protein=DNA_polymerase_III_subunit_tau]_[protein_id=CBH25697.1]_[location=complement(3264006..3266285)],2775,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22928.1_7_[gene=SRM_00007]_[protein=short_chain_dehydrogenase/reductase_(SDR)_family_protein]_[protein_id=CBH22928.1]_[location=complement(6363..7286)],6,M8lcl_FP565814.1_prot_CBH25885.1_2964_[gene=fabF]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_II]_[protein_id=CBH25885.1]_[location=complement(3478907..3480166)],2963,0.6182202390321173,1,2,INFO
M8lcl_FP565814.1_prot_CBH22932.1_11_[gene=SRM_00011]_[protein=Conserved_hypothetical_protein]_[protein_id=CBH22932.1]_[location=complement(9374..10486)],10,"M8lcl_FP565814.1_prot_CBH23422.1_501_[gene=korA]_[protein=2_oxoacid__ferredoxin_oxidoreductase,_alpha_subunit]_[protein_id=CBH23422.1]_[location=609815..611713]",500,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22932.1_11_[gene=SRM_00011]_[protein=Conserved_hypothetical_protein]_[protein_id=CBH22932.1]_[location=complement(9374..10486)],10,M8lcl_FP565814.1_prot_CBH23886.1_965_[gene=eno2]_[protein=Enolase]_[protein_id=CBH23886.1]_[location=complement(1093024..1094313)],964,0.5270234598421492,1,2,INFO
M8lcl_FP565814.1_prot_CBH22932.1_11_[gene=SRM_00011]_[protein=Conserved_hypothetical_protein]_[protein_id=CBH22932.1]_[location=complement(9374..10486)],10,M8lcl_FP565814.1_prot_CBH25496.1_2575_[gene=gpmI]_[protein=Phosphoglyceromutase]_[protein_id=CBH25496.1]_[location=complement(3007743..3009314)],2574,0.7251788961565196,1,2,INFO
M8lcl_FP565814.1_prot_CBH22934.1_13_[gene=ribA]_[protein=Riboflavin_biosynthesis_protein_ribA]_[protein_id=CBH22934.1]_[location=11375..12622],12,M8lcl_FP565814.1_prot_CBH24148.1_1227_[gene=pyk]_[protein=Pyruvate_kinase]_[protein_id=CBH24148.1]_[location=1404402..1405832],1226,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22934.1_13_[gene=ribA]_[protein=Riboflavin_biosynthesis_protein_ribA]_[protein_id=CBH22934.1]_[location=11375..12622],12,M8lcl_FP565814.1_prot_CBH24182.1_1261_[gene=rpoA]_[protein=DNA_directed_RNA_polymerase_alpha_chain]_[protein_id=CBH24182.1]_[location=1430981..1431967],1260,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22934.1_13_[gene=ribA]_[protein=Riboflavin_biosynthesis_protein_ribA]_[protein_id=CBH22934.1]_[location=11375..12622],12,"M8lcl_FP565814.1_prot_CBH24184.1_1263_[gene=spoT]_[protein=Guanosine_3',5'_bis(diphosphate)_3'_pyrophosphohydrolase]_[protein_id=CBH24184.1]_[location=1432843..1435083]",1262,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22934.1_13_[gene=ribA]_[protein=Riboflavin_biosynthesis_protein_ribA]_[protein_id=CBH22934.1]_[location=11375..12622],12,"M8lcl_FP565814.1_prot_CBH24189.1_1268_[gene=ribE]_[protein=6,7_dimethyl_8_ribityllumazine_synthase]_[protein_id=CBH24189.1]_[location=1438443..1439144]",1267,0.6154737471638929,1,2,INFO
M8lcl_FP565814.1_prot_CBH22934.1_13_[gene=ribA]_[protein=Riboflavin_biosynthesis_protein_ribA]_[protein_id=CBH22934.1]_[location=11375..12622],12,M8lcl_FP565814.1_prot_CBH24194.1_1273_[gene=ndk]_[protein=Nucleoside_diphosphate_kinase]_[protein_id=CBH24194.1]_[location=1442747..1443175],1272,0.5313065899877256,1,2,INFO
M8lcl_FP565814.1_prot_CBH22934.1_13_[gene=ribA]_[protein=Riboflavin_biosynthesis_protein_ribA]_[protein_id=CBH22934.1]_[location=11375..12622],12,M8lcl_FP565814.1_prot_CBH24891.1_1970_[gene=rpoC]_[protein=DNA_directed_RNA_polymerase_beta'_chain]_[protein_id=CBH24891.1]_[location=complement(2246364..2250710)],1969,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22934.1_13_[gene=ribA]_[protein=Riboflavin_biosynthesis_protein_ribA]_[protein_id=CBH22934.1]_[location=11375..12622],12,M8lcl_FP565814.1_prot_CBH24892.1_1971_[gene=rpoB]_[protein=DNA_directed_RNA_polymerase_beta_chain]_[protein_id=CBH24892.1]_[location=complement(2250822..2254829)],1970,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22934.1_13_[gene=ribA]_[protein=Riboflavin_biosynthesis_protein_ribA]_[protein_id=CBH22934.1]_[location=11375..12622],12,M8lcl_FP565814.1_prot_CBH25449.1_2528_[gene=ribD]_[protein=riboflavin_biosynthesis_protein_RibD]_[protein_id=CBH25449.1]_[location=2944631..2945824],2527,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22942.1_21_[gene=comA]_[protein=Phosphosulfolactate_synthase]_[protein_id=CBH22942.1]_[location=21282..22103],20,M8lcl_FP565814.1_prot_CBH24739.1_1818_[gene=comB]_[protein=Probable_2_phosphosulfolactate_phosphatase]_[protein_id=CBH24739.1]_[location=2075897..2076634],1817,0.5000783420434993,1,2,INFO
M8lcl_FP565814.1_prot_CBH22948.1_27_[gene=coaBC]_[protein=Coenzyme_A_biosynthesis_bifunctional_protein_coaBC]_[protein_id=CBH22948.1]_[location=complement(27312..28553)],26,M8lcl_FP565814.1_prot_CBH23532.1_611_[gene=SRM_00611]_[protein=Putative_transcriptional_regulator]_[protein_id=CBH23532.1]_[location=complement(743223..743993)],610,0.6292732765703836,1,2,INFO
M8lcl_FP565814.1_prot_CBH22948.1_27_[gene=coaBC]_[protein=Coenzyme_A_biosynthesis_bifunctional_protein_coaBC]_[protein_id=CBH22948.1]_[location=complement(27312..28553)],26,M8lcl_FP565814.1_prot_CBH24053.1_1132_[gene=aspB]_[protein=Aspartate_aminotransferase]_[protein_id=CBH24053.1]_[location=1300003..1301217],1131,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22948.1_27_[gene=coaBC]_[protein=Coenzyme_A_biosynthesis_bifunctional_protein_coaBC]_[protein_id=CBH22948.1]_[location=complement(27312..28553)],26,M8lcl_FP565814.1_prot_CBH25175.1_2254_[gene=cysK]_[protein=cysteine_synthase_A]_[protein_id=CBH25175.1]_[location=2602793..2603746],2253,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22948.1_27_[gene=coaBC]_[protein=Coenzyme_A_biosynthesis_bifunctional_protein_coaBC]_[protein_id=CBH22948.1]_[location=complement(27312..28553)],26,M8lcl_FP565814.1_prot_CBH25215.1_2294_[gene=coaD]_[protein=Phosphopantetheine_adenylyltransferase]_[protein_id=CBH25215.1]_[location=complement(2650949..2651443)],2293,0.6394125410491357,1,2,INFO
M8lcl_FP565814.1_prot_CBH22950.1_29_[gene=gmk]_[protein=Guanylate_kinase]_[protein_id=CBH22950.1]_[location=complement(29163..29801)],28,M8lcl_FP565814.1_prot_CBH23298.1_377_[gene=nrdB]_[protein=ribonucleoside_diphosphate_reductase]_[protein_id=CBH23298.1]_[location=444838..447564],376,0.5181936778431895,1,2,INFO
M8lcl_FP565814.1_prot_CBH22950.1_29_[gene=gmk]_[protein=Guanylate_kinase]_[protein_id=CBH22950.1]_[location=complement(29163..29801)],28,M8lcl_FP565814.1_prot_CBH24148.1_1227_[gene=pyk]_[protein=Pyruvate_kinase]_[protein_id=CBH24148.1]_[location=1404402..1405832],1226,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22950.1_29_[gene=gmk]_[protein=Guanylate_kinase]_[protein_id=CBH22950.1]_[location=complement(29163..29801)],28,M8lcl_FP565814.1_prot_CBH24906.1_1985_[gene=pnpA]_[protein=polyribonucleotide_nucleotidyltransferase]_[protein_id=CBH24906.1]_[location=complement(2267574..2269811)],1984,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22950.1_29_[gene=gmk]_[protein=Guanylate_kinase]_[protein_id=CBH22950.1]_[location=complement(29163..29801)],28,M8lcl_FP565814.1_prot_CBH25213.1_2292_[gene=guaA]_[protein=GMP_synthase_[glutamine_hydrolyzing]]_[protein_id=CBH25213.1]_[location=complement(2648716..2650296)],2291,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22960.1_39_[gene=plsX]_[protein=Fatty_acid/phospholipid_synthesis_protein_plsX]_[protein_id=CBH22960.1]_[location=37121..38137],38,M8lcl_FP565814.1_prot_CBH24577.1_1656_[gene=glpA]_[protein=FAD_dependent_glycerol_3_phosphate_dehydrogenase_subunit]_[protein_id=CBH24577.1]_[location=complement(1887585..1889159)],1655,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22960.1_39_[gene=plsX]_[protein=Fatty_acid/phospholipid_synthesis_protein_plsX]_[protein_id=CBH22960.1]_[location=37121..38137],38,M8lcl_FP565814.1_prot_CBH24587.1_1666_[gene=gpsA]_[protein=Glycerol_3_phosphate_dehydrogenase_[NAD(P)+]]_[protein_id=CBH24587.1]_[location=1900487..1901512],1665,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22960.1_39_[gene=plsX]_[protein=Fatty_acid/phospholipid_synthesis_protein_plsX]_[protein_id=CBH22960.1]_[location=37121..38137],38,M8lcl_FP565814.1_prot_CBH24595.1_1674_[gene=gpsA]_[protein=Glycerol_3_phosphate_dehydrogenase]_[protein_id=CBH24595.1]_[location=1909356..1910510],1673,0.7368245770441436,1,2,INFO
M8lcl_FP565814.1_prot_CBH22962.1_41_[gene=fabD]_[protein=Malonyl_CoA_acyl_carrier_protein_transacylase]_[protein_id=CBH22962.1]_[location=39188..40210],40,M8lcl_FP565814.1_prot_CBH22961.1_40_[gene=fabH]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_III]_[protein_id=CBH22961.1]_[location=38181..39185],39,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22962.1_41_[gene=fabD]_[protein=Malonyl_CoA_acyl_carrier_protein_transacylase]_[protein_id=CBH22962.1]_[location=39188..40210],40,M8lcl_FP565814.1_prot_CBH23465.1_544_[gene=accA]_[protein=Acetyl_coenzyme_A_carboxylase_carboxyl_transferase_subunit_alpha]_[protein_id=CBH23465.1]_[location=664911..666431],543,0.7427200564607545,1,2,INFO
M8lcl_FP565814.1_prot_CBH22962.1_41_[gene=fabD]_[protein=Malonyl_CoA_acyl_carrier_protein_transacylase]_[protein_id=CBH22962.1]_[location=39188..40210],40,"M8lcl_FP565814.1_prot_CBH24052.1_1131_[gene=accC]_[protein=Acetyl_CoA_carboxylase,_biotin_carboxylase]_[protein_id=CBH24052.1]_[location=1298499..1299866]",1130,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22962.1_41_[gene=fabD]_[protein=Malonyl_CoA_acyl_carrier_protein_transacylase]_[protein_id=CBH22962.1]_[location=39188..40210],40,M8lcl_FP565814.1_prot_CBH24256.1_1335_[gene=accD]_[protein=Acetyl_coenzyme_A_carboxylase_carboxyl_transferase_subunit_beta]_[protein_id=CBH24256.1]_[location=1511904..1512749],1334,0.6251149981561205,1,2,INFO
M8lcl_FP565814.1_prot_CBH22962.1_41_[gene=fabD]_[protein=Malonyl_CoA_acyl_carrier_protein_transacylase]_[protein_id=CBH22962.1]_[location=39188..40210],40,"M8lcl_FP565814.1_prot_CBH25490.1_2569_[gene=accA]_[protein=Acetyl_CoA_carboxylase,_alpha_subunit]_[protein_id=CBH25490.1]_[location=complement(2999474..3000481)]",2568,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22962.1_41_[gene=fabD]_[protein=Malonyl_CoA_acyl_carrier_protein_transacylase]_[protein_id=CBH22962.1]_[location=39188..40210],40,M8lcl_FP565814.1_prot_CBH25870.1_2949_[gene=fabF]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_II]_[protein_id=CBH25870.1]_[location=3458888..3460402],2948,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22962.1_41_[gene=fabD]_[protein=Malonyl_CoA_acyl_carrier_protein_transacylase]_[protein_id=CBH22962.1]_[location=39188..40210],40,M8lcl_FP565814.1_prot_CBH25885.1_2964_[gene=fabF]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_II]_[protein_id=CBH25885.1]_[location=complement(3478907..3480166)],2963,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22964.1_43_[gene=fabG]_[protein=3_oxoacyl_[acyl_carrier_protein]_reductase]_[protein_id=CBH22964.1]_[location=41301..42050],42,M8lcl_FP565814.1_prot_CBH22961.1_40_[gene=fabH]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_III]_[protein_id=CBH22961.1]_[location=38181..39185],39,0.7445316227541731,1,2,INFO
