protein_1,protein_1_idx,protein_2,protein_2_idx,confidence,attributes,attribute_p1,attribute_p2
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH23501.1_580_[gene=holA]_[protein=DNA_polymerase_III_delta_subunit]_[protein_id=CBH23501.1]_[location=713551..714594],579,0.7164403456250288,"['DAY', 'NIGHT', 'BOTH']",BOTH,BOTH
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH23962.1_1041_[gene=dnaX]_[protein=DNA_polymerase_III_gamma/tau_subunit]_[protein_id=CBH23962.1]_[location=1193487..1194674],1040,0.7435028048307277,"['DAY', 'NIGHT', 'BOTH']",BOTH,BOTH
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,"M8lcl_FP565814.1_prot_CBH24094.1_1173_[gene=dnaE2]_[protein=DNA_polymerase_III,_alpha_subunit]_[protein_id=CBH24094.1]_[location=complement(1342632..1346132)]",1172,0.7495744634507541,"['DAY', 'NIGHT', 'BOTH']",BOTH,DAY
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH24148.1_1227_[gene=pyk]_[protein=Pyruvate_kinase]_[protein_id=CBH24148.1]_[location=1404402..1405832],1226,0.7495744634507541,"['DAY', 'NIGHT', 'BOTH']",BOTH,NIGHT
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH24194.1_1273_[gene=ndk]_[protein=Nucleoside_diphosphate_kinase]_[protein_id=CBH24194.1]_[location=1442747..1443175],1272,0.6247407549270927,"['DAY', 'NIGHT', 'BOTH']",BOTH,BOTH
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH24554.1_1633_[gene=dnaQ]_[protein=DNA_polymerase_III_epsilon_subunit]_[protein_id=CBH24554.1]_[location=1855762..1857453],1632,0.7296962579511973,"['DAY', 'NIGHT', 'BOTH']",BOTH,BOTH
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH24757.1_1835_[gene=polA]_[protein=DNA_polymerase_I]_[protein_id=CBH24757.1]_[location=complement(2094769..2097618)],1834,0.7495744634507541,"['DAY', 'NIGHT', 'BOTH']",BOTH,DAY
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",2,M8lcl_FP565814.1_prot_CBH25697.1_2776_[gene=dnaX]_[protein=DNA_polymerase_III_subunit_tau]_[protein_id=CBH25697.1]_[location=complement(3264006..3266285)],2775,0.7495744634507541,"['DAY', 'NIGHT', 'BOTH']",BOTH,BOTH
M8lcl_FP565814.1_prot_CBH22929.1_8_[gene=rpe]_[protein=Ribulose_phosphate_3_epimerase]_[protein_id=CBH22929.1]_[location=complement(7406..8140)],7,M8lcl_FP565814.1_prot_CBH23271.1_350_[gene=tktA]_[protein=transketolase]_[protein_id=CBH23271.1]_[location=412884..414914],349,0.7495744634507541,"['DAY', 'NIGHT', 'BOTH']",DAY,DAY
M8lcl_FP565814.1_prot_CBH22929.1_8_[gene=rpe]_[protein=Ribulose_phosphate_3_epimerase]_[protein_id=CBH22929.1]_[location=complement(7406..8140)],7,M8lcl_FP565814.1_prot_CBH24096.1_1175_[gene=glpK]_[protein=Glycerol_kinase]_[protein_id=CBH24096.1]_[location=complement(1347549..1349165)],1174,0.7227851998760109,"['DAY', 'NIGHT', 'BOTH']",DAY,DAY
M8lcl_FP565814.1_prot_CBH22929.1_8_[gene=rpe]_[protein=Ribulose_phosphate_3_epimerase]_[protein_id=CBH22929.1]_[location=complement(7406..8140)],7,"M8lcl_FP565814.1_prot_CBH25107.1_2186_[gene=pdhB]_[protein=pyruvate_dehydrogenase_complex,_E1_component]_[protein_id=CBH25107.1]_[location=complement(2516361..2517344)]",2185,0.665637139954801,"['DAY', 'NIGHT', 'BOTH']",DAY,NIGHT
M8lcl_FP565814.1_prot_CBH22931.1_10_[gene=SRM_00010]_[protein=Conserved_hypothetical_protein]_[protein_id=CBH22931.1]_[location=8702..9325],9,M8lcl_FP565814.1_prot_CBH23299.1_378_[gene=dapG]_[protein=Aspartate_kinase]_[protein_id=CBH23299.1]_[location=447721..450333],377,0.7338437854968554,"['DAY', 'NIGHT', 'BOTH']",NIGHT,NIGHT
M8lcl_FP565814.1_prot_CBH22932.1_11_[gene=SRM_00011]_[protein=Conserved_hypothetical_protein]_[protein_id=CBH22932.1]_[location=complement(9374..10486)],10,"M8lcl_FP565814.1_prot_CBH23422.1_501_[gene=korA]_[protein=2_oxoacid__ferredoxin_oxidoreductase,_alpha_subunit]_[protein_id=CBH23422.1]_[location=609815..611713]",500,0.6102087013403127,"['DAY', 'NIGHT', 'BOTH']",DAY,DAY
M8lcl_FP565814.1_prot_CBH22932.1_11_[gene=SRM_00011]_[protein=Conserved_hypothetical_protein]_[protein_id=CBH22932.1]_[location=complement(9374..10486)],10,M8lcl_FP565814.1_prot_CBH25496.1_2575_[gene=gpmI]_[protein=Phosphoglyceromutase]_[protein_id=CBH25496.1]_[location=complement(3007743..3009314)],2574,0.5048702303900575,"['DAY', 'NIGHT', 'BOTH']",DAY,DAY
M8lcl_FP565814.1_prot_CBH22934.1_13_[gene=ribA]_[protein=Riboflavin_biosynthesis_protein_ribA]_[protein_id=CBH22934.1]_[location=11375..12622],12,M8lcl_FP565814.1_prot_CBH23130.1_209_[gene=SRM_00209]_[protein=Putative_Transposase]_[protein_id=CBH23130.1]_[location=258514..259281],208,0.5171369736094876,"['DAY', 'NIGHT', 'BOTH']",NIGHT,DAY
M8lcl_FP565814.1_prot_CBH22934.1_13_[gene=ribA]_[protein=Riboflavin_biosynthesis_protein_ribA]_[protein_id=CBH22934.1]_[location=11375..12622],12,M8lcl_FP565814.1_prot_CBH24148.1_1227_[gene=pyk]_[protein=Pyruvate_kinase]_[protein_id=CBH24148.1]_[location=1404402..1405832],1226,0.7495744634507541,"['DAY', 'NIGHT', 'BOTH']",NIGHT,NIGHT
